tag,weighted_f1,n_foldseek,n_fallback,n_none,k,weight,min_prob,fallback
fs_k5_alntmscore_p0.7,0.22154761904761905,316,0,84,5,alntmscore,0.7,none
fs_k5_prob_p0.5,0.22066666666666668,322,0,78,5,prob,0.5,none
fs_k5_uniform_p0.5,0.22049999999999997,322,0,78,5,uniform,0.5,none
fs_k3_bits_p0.5_+rf,0.22045833333333334,322,69,9,3,bits,0.5,rf
fs_k1_bits_p0.5_+rf,0.220125,322,69,9,1,bits,0.5,rf
fs_k1_alntmscore_p0.5_+rf,0.220125,322,69,9,1,alntmscore,0.5,rf
fs_k5_alntmscore_p0.5_+rf,0.21908333333333332,322,69,9,5,alntmscore,0.5,rf
fs_k5_alntmscore_p0.0,0.21846428571428572,391,0,9,5,alntmscore,0.0,none
fs_k5_alntmscore_p0.0_+rf,0.21846428571428572,391,0,9,5,alntmscore,0.0,rf
fs_k5_prob_p0.7,0.2172142857142857,316,0,84,5,prob,0.7,none
fs_k5_lddt_p0.7,0.2170833333333333,316,0,84,5,lddt,0.7,none
fs_k5_uniform_p0.7,0.21704761904761902,316,0,84,5,uniform,0.7,none
fs_k5_lddt_p0.0,0.21499999999999997,391,0,9,5,lddt,0.0,none
