method,weighted_f1
ProstT5 SVM-rbf-C1,0.1321985743015155
ProstT5 LogReg-C1,0.17088095238095236
ProstT5 kNN-1-cos,0.14854761904761904
ProstT5 kNN-3-cos,0.13858333333333334
ProstT5 kNN-5-cos,0.14300000000000002
ProstT5 RF-500,0.09774999999999999
ProstT5 NCM (cosine),0.1347559523809524
